uf;geometria;municipio;processo;classe;execucao;projeto;ano;executor;st_area_sh;st_length_
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,69E+04;0.00178663000607
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;4,25E+03;0.00360586065722
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116394202074
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,98E+04;0.00211731012836
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,40E+02;0.00111374639929
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,93E+05;0.00835922063967
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,05E+04;0.0042855911049
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.00116447121264
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,42E+03;0.0011636739118
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,00E+04;0.0037202761226
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116389679589
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,52E+06;0.035367211872
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,35E+04;0.00496049383652
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116396246493
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+02;0.00110013673977
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,73E+04;0.00315856079774
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,15E+04;0.00169473454793
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,40E+03;0.00111348605464
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,40E+02;0.00111268148114
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;3,37E+04;0.00232871462796
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,24E+04;0.00203140020544
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,77E+03;0.00109964932906
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;0.000112270396929;0.101047497204
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;3,62E+06;0.0639870676817
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,05E+04;0.00286849500917
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,88E+04;0.00358749729636
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.00116434784336
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,06E+04;0.00417388518105
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116441291459
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,53E+04;0.00240720766277
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116401189169
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+02;0.00110012147535
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,03E+04;0.00419466717995
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.00116441224812
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;3,45E+04;0.00273524124838
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,22E+04;0.00358892910142
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.00116447027223
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;6,04E+04;0.00345701715344
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,83E+04;0.00561406551522
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,74E+05;0.00665236500868
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,18E+04;0.00160199094198
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,30E+05;0.00984961379525
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,00E+04;0.00206801652897
